customer_id,customer_code,customer_name,email,phone,gender,age_group,city,state,city_tier,is_registered,loyalty_member,avg_monthly_spend_inr,visit_frequency_per_month,registration_date,created_at,updated_at
17,CUST00017,Harsh Bansal,NULL,NULL,M,46-55,Mysuru,Karnataka,3,1,0,3900.00,4,2024-05-23,2026-05-30 01:02:25,2026-05-30 01:02:25
18,CUST00018,Asha Bhatia,NULL,NULL,F,46-55,Faridabad,Haryana,2,1,1,6960.00,10,2026-01-19,2026-05-30 01:02:25,2026-05-30 01:02:25
19,CUST00019,Asha Choudhary,NULL,NULL,F,36-45,Rajkot,Gujarat,2,1,1,9820.00,10,2025-03-11,2026-05-30 01:02:25,2026-05-30 01:02:25
20,CUST00020,Vinod Yadav,NULL,NULL,M,26-35,Kanpur,Uttar Pradesh,2,1,1,5970.00,10,2024-02-20,2026-05-30 01:02:25,2026-05-30 01:02:25
21,CUST00021,Kavita Kapoor,NULL,NULL,F,36-45,Bengaluru,Karnataka,1,1,1,7370.00,9,2024-03-03,2026-05-30 01:02:25,2026-05-30 01:02:25
22,CUST00022,Anita Rao,NULL,NULL,F,26-35,Ghaziabad,Uttar Pradesh,2,1,1,5100.00,6,2024-10-07,2026-05-30 01:02:25,2026-05-30 01:02:25
23,CUST00023,Sai Agarwal,NULL,NULL,M,26-35,Ghaziabad,Uttar Pradesh,2,1,1,3440.00,5,2024-11-28,2026-05-30 01:02:25,2026-05-30 01:02:25
24,CUST00024,Aarohi Das,NULL,NULL,F,26-35,Lucknow,Uttar Pradesh,2,0,0,3490.00,2,2023-11-02,2026-05-30 01:02:25,2026-05-30 01:02:25
25,CUST00025,Kavya Kumar,NULL,NULL,F,65+,Agra,Uttar Pradesh,2,0,0,2960.00,3,2026-04-03,2026-05-30 01:02:25,2026-05-30 01:02:25
26,CUST00026,Vihaan Kumar,NULL,NULL,M,18-25,Kolkata,West Bengal,1,1,1,1510.00,7,2025-02-20,2026-05-30 01:02:25,2026-05-30 01:02:25
27,CUST00027,Advik Sinha,NULL,NULL,M,36-45,Ahmedabad,Gujarat,1,0,0,5570.00,5,2025-12-31,2026-05-30 01:02:25,2026-05-30 01:02:25
28,CUST00028,Ritu Mittal,NULL,NULL,F,46-55,Hyderabad,Telangana,1,0,0,5620.00,3,2025-06-05,2026-05-30 01:02:25,2026-05-30 01:02:25
29,CUST00029,Rekha Ghosh,NULL,NULL,F,46-55,Kolkata,West Bengal,1,1,0,6310.00,4,2025-06-17,2026-05-30 01:02:25,2026-05-30 01:02:25
30,CUST00030,Tara Mehta,NULL,NULL,F,36-45,Agra,Uttar Pradesh,2,0,0,4100.00,2,2024-08-10,2026-05-30 01:02:25,2026-05-30 01:02:25
31,CUST00031,Ramesh Pillai,NULL,NULL,O,36-45,Faridabad,Haryana,2,1,1,9950.00,8,2025-09-23,2026-05-30 01:02:25,2026-05-30 01:02:25
32,CUST00032,Aditya Bhatia,NULL,NULL,M,56-65,Patna,Bihar,2,1,0,3340.00,2,2025-09-02,2026-05-30 01:02:25,2026-05-30 01:02:25
33,CUST00033,Vihaan Singh,NULL,NULL,M,26-35,Rajkot,Gujarat,2,1,1,4490.00,10,2024-10-04,2026-05-30 01:02:25,2026-05-30 01:02:25
34,CUST00034,Harsh Yadav,NULL,NULL,M,56-65,Guwahati,Assam,3,1,0,3250.00,3,2025-11-04,2026-05-30 01:02:25,2026-05-30 01:02:25
35,CUST00035,Manoj Agarwal,NULL,NULL,M,36-45,Lucknow,Uttar Pradesh,2,0,0,7170.00,1,2025-10-16,2026-05-30 01:02:25,2026-05-30 01:02:25
36,CUST00036,Vivaan Mehta,NULL,NULL,M,26-35,Ahmedabad,Gujarat,1,1,0,4270.00,2,2025-01-03,2026-05-30 01:02:25,2026-05-30 01:02:25
37,CUST00037,Anita Desai,NULL,NULL,F,26-35,Ghaziabad,Uttar Pradesh,2,1,1,5120.00,11,2024-01-02,2026-05-30 01:02:25,2026-05-30 01:02:25
38,CUST00038,Priya Roy,NULL,NULL,F,18-25,Chennai,Tamil Nadu,1,1,1,1880.00,5,2024-01-20,2026-05-30 01:02:25,2026-05-30 01:02:25
39,CUST00039,Divya Mittal,NULL,NULL,F,26-35,Tiruchirappalli,Tamil Nadu,3,1,1,5710.00,6,2024-07-30,2026-05-30 01:02:25,2026-05-30 01:02:25
40,CUST00040,Ayaan Pandey,NULL,NULL,M,46-55,Pune,Maharashtra,1,1,1,6970.00,5,2024-04-27,2026-05-30 01:02:25,2026-05-30 01:02:25
41,CUST00041,Ananya Gupta,NULL,NULL,F,65+,Hyderabad,Telangana,1,1,0,2730.00,3,2024-03-14,2026-05-30 01:02:25,2026-05-30 01:02:25
42,CUST00042,Swati Mehta,NULL,NULL,O,26-35,Faridabad,Haryana,2,1,1,5390.00,4,2024-05-14,2026-05-30 01:02:25,2026-05-30 01:02:25
43,CUST00043,Prisha Malhotra,NULL,NULL,F,26-35,Jaipur,Rajasthan,2,1,1,6420.00,9,2025-07-22,2026-05-30 01:02:25,2026-05-30 01:02:25
44,CUST00044,Aarohi Jain,NULL,NULL,F,36-45,Chennai,Tamil Nadu,1,1,1,4990.00,10,2025-07-12,2026-05-30 01:02:25,2026-05-30 01:02:25
45,CUST00045,Anil Nair,NULL,NULL,M,26-35,Coimbatore,Tamil Nadu,2,1,0,3740.00,2,2024-07-25,2026-05-30 01:02:25,2026-05-30 01:02:25
46,CUST00046,Priya Malhotra,NULL,NULL,F,26-35,Kanpur,Uttar Pradesh,2,1,1,6700.00,8,2025-04-19,2026-05-30 01:02:25,2026-05-30 01:02:25
47,CUST00047,Ajay Patel,NULL,NULL,M,36-45,Kolkata,West Bengal,1,1,0,6160.00,8,2026-05-21,2026-05-30 01:02:25,2026-05-30 01:02:25
48,CUST00048,Geeta Choudhary,NULL,NULL,O,56-65,Kanpur,Uttar Pradesh,2,1,0,3280.00,8,2024-02-26,2026-05-30 01:02:25,2026-05-30 01:02:25
49,CUST00049,Anita Mehta,NULL,NULL,F,46-55,Ahmedabad,Gujarat,1,1,1,6300.00,10,2026-02-23,2026-05-30 01:02:25,2026-05-30 01:02:25
50,CUST00050,Sai Menon,NULL,NULL,M,36-45,Kolkata,West Bengal,1,0,0,6670.00,4,2026-05-20,2026-05-30 01:02:25,2026-05-30 01:02:25
51,CUST00051,Anil Banerjee,NULL,NULL,M,26-35,Coimbatore,Tamil Nadu,2,1,1,5900.00,6,2024-05-01,2026-05-30 01:02:25,2026-05-30 01:02:25
52,CUST00052,Amit Ghosh,NULL,NULL,M,18-25,Lucknow,Uttar Pradesh,2,1,0,1770.00,7,2024-04-22,2026-05-30 01:02:25,2026-05-30 01:02:25
53,CUST00053,Suresh Reddy,NULL,NULL,M,65+,Kolkata,West Bengal,1,1,1,3710.00,12,2024-11-11,2026-05-30 01:02:25,2026-05-30 01:02:25
54,CUST00054,Aadhya Patel,NULL,NULL,F,18-25,Gwalior,Madhya Pradesh,3,1,1,2720.00,9,2024-12-27,2026-05-30 01:02:25,2026-05-30 01:02:25
55,CUST00055,Ritvik Sinha,NULL,NULL,M,26-35,Kolkata,West Bengal,1,1,1,5740.00,11,2023-12-09,2026-05-30 01:02:25,2026-05-30 01:02:25
56,CUST00056,Tara Jain,NULL,NULL,F,26-35,Nagpur,Maharashtra,2,1,0,3240.00,8,2023-10-17,2026-05-30 01:02:25,2026-05-30 01:02:25
57,CUST00057,Ira Jain,NULL,NULL,F,26-35,Amritsar,Punjab,2,0,0,3410.00,5,2026-03-20,2026-05-30 01:02:25,2026-05-30 01:02:25
58,CUST00058,Sonia Menon,NULL,NULL,F,18-25,Ahmedabad,Gujarat,1,1,0,1830.00,6,2025-01-28,2026-05-30 01:02:25,2026-05-30 01:02:25
59,CUST00059,Rahul Roy,NULL,NULL,O,26-35,Kota,Rajasthan,3,1,1,4560.00,12,2025-10-20,2026-05-30 01:02:25,2026-05-30 01:02:25
60,CUST00060,Avni Agarwal,NULL,NULL,F,26-35,Delhi,Delhi,1,1,0,3960.00,8,2024-08-17,2026-05-30 01:02:25,2026-05-30 01:02:25
61,CUST00061,Radha Malhotra,NULL,NULL,F,36-45,Chennai,Tamil Nadu,1,1,0,4190.00,2,2024-10-17,2026-05-30 01:02:25,2026-05-30 01:02:25
62,CUST00062,Khushi Mehta,NULL,NULL,F,18-25,Kolkata,West Bengal,1,1,1,2650.00,5,2023-09-08,2026-05-30 01:02:25,2026-05-30 01:02:25
63,CUST00063,Riya Khan,NULL,NULL,F,36-45,Bengaluru,Karnataka,1,1,1,5370.00,5,2025-11-03,2026-05-30 01:02:25,2026-05-30 01:02:25
64,CUST00064,Ravi Das,NULL,NULL,M,56-65,Delhi,Delhi,1,1,0,4360.00,4,2026-04-04,2026-05-30 01:02:25,2026-05-30 01:02:25
65,CUST00065,Reyansh Mukherjee,NULL,NULL,M,36-45,Mumbai,Maharashtra,1,0,0,5640.00,3,2024-08-14,2026-05-30 01:02:25,2026-05-30 01:02:25
66,CUST00066,Asha Bansal,NULL,NULL,F,36-45,Coimbatore,Tamil Nadu,2,0,0,4400.00,5,2026-02-14,2026-05-30 01:02:25,2026-05-30 01:02:25
67,CUST00067,Manoj Bansal,NULL,NULL,M,26-35,Bengaluru,Karnataka,1,1,0,4920.00,3,2024-11-13,2026-05-30 01:02:25,2026-05-30 01:02:25
68,CUST00068,Priya Agarwal,NULL,NULL,F,36-45,Patna,Bihar,2,0,0,5220.00,1,2025-01-16,2026-05-30 01:02:25,2026-05-30 01:02:25
69,CUST00069,Vivaan Singh,NULL,NULL,M,26-35,Ghaziabad,Uttar Pradesh,2,1,1,6280.00,7,2024-03-13,2026-05-30 01:02:25,2026-05-30 01:02:25
70,CUST00070,Deepak Khan,NULL,NULL,M,36-45,Mumbai,Maharashtra,1,0,0,3970.00,5,2024-12-03,2026-05-30 01:02:25,2026-05-30 01:02:25
71,CUST00071,Akash Jain,NULL,NULL,M,18-25,Rajkot,Gujarat,2,1,0,2220.00,5,2025-08-12,2026-05-30 01:02:25,2026-05-30 01:02:25
72,CUST00072,Aarav Desai,NULL,NULL,M,18-25,Hyderabad,Telangana,1,1,1,2760.00,6,2024-02-22,2026-05-30 01:02:25,2026-05-30 01:02:25
73,CUST00073,Krishna Tiwari,NULL,NULL,M,46-55,Cuttack,Odisha,3,0,0,5690.00,3,2025-09-05,2026-05-30 01:02:25,2026-05-30 01:02:25
74,CUST00074,Riya Sharma,NULL,NULL,F,46-55,Dehradun,Uttarakhand,3,1,1,9220.00,10,2024-01-29,2026-05-30 01:02:25,2026-05-30 01:02:25
75,CUST00075,Ananya Yadav,NULL,NULL,F,36-45,Jaipur,Rajasthan,2,0,0,5600.00,2,2025-02-24,2026-05-30 01:02:25,2026-05-30 01:02:25
76,CUST00076,Atharv Mukherjee,NULL,NULL,M,65+,Nagpur,Maharashtra,2,1,0,3170.00,4,2024-05-17,2026-05-30 01:02:25,2026-05-30 01:02:25
77,CUST00077,Geeta Naidu,NULL,NULL,F,18-25,Bengaluru,Karnataka,1,1,0,1770.00,6,2025-06-27,2026-05-30 01:02:25,2026-05-30 01:02:25
78,CUST00078,Aarohi Banerjee,NULL,NULL,F,36-45,Patna,Bihar,2,0,0,5200.00,1,2025-03-01,2026-05-30 01:02:25,2026-05-30 01:02:25
79,CUST00079,Navya Menon,NULL,NULL,F,36-45,Ludhiana,Punjab,2,1,1,7300.00,10,2025-09-06,2026-05-30 01:02:25,2026-05-30 01:02:25
80,CUST00080,Rajesh Yadav,NULL,NULL,M,36-45,Cuttack,Odisha,3,1,0,5340.00,6,2023-10-07,2026-05-30 01:02:25,2026-05-30 01:02:25
81,CUST00081,Krishna Ghosh,NULL,NULL,M,56-65,Ahmedabad,Gujarat,1,0,0,3290.00,5,2026-04-29,2026-05-30 01:02:25,2026-05-30 01:02:25
82,CUST00082,Karan Rao,NULL,NULL,M,26-35,Visakhapatnam,Andhra Pradesh,2,0,0,5110.00,4,2025-09-15,2026-05-30 01:02:25,2026-05-30 01:02:25
83,CUST00083,Advik Pillai,NULL,NULL,M,26-35,Delhi,Delhi,1,1,0,3170.00,2,2025-11-16,2026-05-30 01:02:25,2026-05-30 01:02:25
84,CUST00084,Ananya Dubey,NULL,NULL,F,36-45,Bengaluru,Karnataka,1,1,1,9280.00,11,2025-11-08,2026-05-30 01:02:25,2026-05-30 01:02:25
85,CUST00085,Swati Bhatia,NULL,NULL,F,26-35,Amritsar,Punjab,2,1,1,4570.00,10,2025-03-27,2026-05-30 01:02:25,2026-05-30 01:02:25
86,CUST00086,Krishna Yadav,NULL,NULL,M,46-55,Amritsar,Punjab,2,0,0,5290.00,3,2024-12-09,2026-05-30 01:02:25,2026-05-30 01:02:25
87,CUST00087,Harsh Pillai,NULL,NULL,M,18-25,Jaipur,Rajasthan,2,1,0,1340.00,3,2025-04-25,2026-05-30 01:02:25,2026-05-30 01:02:25
88,CUST00088,Ramesh Bhatia,NULL,NULL,M,36-45,Jamshedpur,Jharkhand,3,1,0,4520.00,2,2025-05-05,2026-05-30 01:02:25,2026-05-30 01:02:25
89,CUST00089,Sunita Banerjee,NULL,NULL,F,36-45,Chennai,Tamil Nadu,1,1,1,9360.00,9,2024-05-12,2026-05-30 01:02:25,2026-05-30 01:02:25
90,CUST00090,Sneha Mukherjee,NULL,NULL,F,26-35,Jamshedpur,Jharkhand,3,1,0,4790.00,3,2024-11-04,2026-05-30 01:02:25,2026-05-30 01:02:25
91,CUST00091,Pranay Desai,NULL,NULL,M,36-45,Chandigarh,Chandigarh,3,1,1,6510.00,12,2024-09-23,2026-05-30 01:02:25,2026-05-30 01:02:25
92,CUST00092,Diya Bansal,NULL,NULL,O,26-35,Ahmedabad,Gujarat,1,1,1,6020.00,6,2025-06-07,2026-05-30 01:02:25,2026-05-30 01:02:25
93,CUST00093,Ishaan Menon,NULL,NULL,M,56-65,Salem,Tamil Nadu,3,1,0,3480.00,5,2023-10-31,2026-05-30 01:02:25,2026-05-30 01:02:25
94,CUST00094,Prisha Bhatia,NULL,NULL,F,26-35,Kolkata,West Bengal,1,1,0,4180.00,2,2024-08-27,2026-05-30 01:02:25,2026-05-30 01:02:25
95,CUST00095,Reyansh Das,NULL,NULL,M,18-25,Faridabad,Haryana,2,1,1,1590.00,11,2025-05-16,2026-05-30 01:02:25,2026-05-30 01:02:25
96,CUST00096,Shaurya Saxena,NULL,NULL,M,36-45,Rajkot,Gujarat,2,0,0,3510.00,5,2023-10-02,2026-05-30 01:02:25,2026-05-30 01:02:25
97,CUST00097,Sneha Kumar,NULL,NULL,F,26-35,Pune,Maharashtra,1,1,1,5870.00,10,2024-06-10,2026-05-30 01:02:25,2026-05-30 01:02:25
98,CUST00098,Rekha Bhatia,NULL,NULL,F,46-55,Warangal,Telangana,3,0,0,3850.00,1,2024-07-16,2026-05-30 01:02:25,2026-05-30 01:02:25
99,CUST00099,Divya Khan,NULL,NULL,F,65+,Noida,Uttar Pradesh,3,0,0,2940.00,1,2025-09-12,2026-05-30 01:02:25,2026-05-30 01:02:25
100,CUST00100,Rahul Yadav,NULL,NULL,M,65+,Faridabad,Haryana,2,0,0,2950.00,5,2025-09-22,2026-05-30 01:02:25,2026-05-30 01:02:25
101,CUST00101,Sonia Shah,NULL,NULL,F,36-45,Bengaluru,Karnataka,1,1,0,6210.00,3,2025-02-14,2026-05-30 01:02:25,2026-05-30 01:02:25
102,CUST00102,Kiara Sharma,NULL,NULL,F,18-25,Ahmedabad,Gujarat,1,0,0,1450.00,5,2024-10-08,2026-05-30 01:02:25,2026-05-30 01:02:25
103,CUST00103,Sara Mehta,NULL,NULL,F,18-25,Coimbatore,Tamil Nadu,2,1,0,1880.00,7,2024-10-19,2026-05-30 01:02:25,2026-05-30 01:02:25
104,CUST00104,Atharv Chopra,NULL,NULL,M,26-35,Jodhpur,Rajasthan,3,1,0,4990.00,8,2026-01-06,2026-05-30 01:02:25,2026-05-30 01:02:25
105,CUST00105,Navya Nair,NULL,NULL,F,36-45,Chandigarh,Chandigarh,3,0,0,3660.00,4,2023-10-16,2026-05-30 01:02:25,2026-05-30 01:02:25
106,CUST00106,Sai Yadav,NULL,NULL,M,46-55,Mumbai,Maharashtra,1,1,1,9140.00,12,2025-06-13,2026-05-30 01:02:25,2026-05-30 01:02:25
107,CUST00107,Karan Mehta,NULL,NULL,M,36-45,Bengaluru,Karnataka,1,1,1,10360.00,8,2023-12-24,2026-05-30 01:02:25,2026-05-30 01:02:25
108,CUST00108,Ravi Agarwal,NULL,NULL,M,36-45,Delhi,Delhi,1,1,0,4430.00,3,2025-05-11,2026-05-30 01:02:25,2026-05-30 01:02:25
109,CUST00109,Tara Mehta,NULL,NULL,F,36-45,Mumbai,Maharashtra,1,1,0,3600.00,3,2025-09-14,2026-05-30 01:02:25,2026-05-30 01:02:25
110,CUST00110,Veer Mukherjee,NULL,NULL,M,46-55,Patna,Bihar,2,1,1,5410.00,10,2026-01-11,2026-05-30 01:02:25,2026-05-30 01:02:25
111,CUST00111,Sneha Saxena,NULL,NULL,F,26-35,Ludhiana,Punjab,2,1,1,4890.00,8,2023-11-22,2026-05-30 01:02:25,2026-05-30 01:02:25
112,CUST00112,Karan Mehta,NULL,NULL,M,26-35,Bengaluru,Karnataka,1,1,0,3660.00,7,2025-11-28,2026-05-30 01:02:25,2026-05-30 01:02:25
113,CUST00113,Pooja Kumar,NULL,NULL,F,36-45,Delhi,Delhi,1,0,0,5740.00,3,2025-12-24,2026-05-30 01:02:25,2026-05-30 01:02:25
114,CUST00114,Kavya Bhatia,NULL,NULL,F,46-55,Patna,Bihar,2,1,0,6510.00,7,2025-10-04,2026-05-30 01:02:25,2026-05-30 01:02:25
115,CUST00115,Anjali Nair,NULL,NULL,F,26-35,Ahmedabad,Gujarat,1,1,1,4570.00,9,2024-06-12,2026-05-30 01:02:25,2026-05-30 01:02:25
116,CUST00116,Avni Chopra,NULL,NULL,F,65+,Noida,Uttar Pradesh,3,1,1,2730.00,4,2024-01-07,2026-05-30 01:02:25,2026-05-30 01:02:25
117,CUST00117,Veer Khan,NULL,NULL,M,46-55,Bhubaneswar,Odisha,3,1,0,5340.00,4,2025-10-24,2026-05-30 01:02:25,2026-05-30 01:02:25
118,CUST00118,Anita Dubey,NULL,NULL,F,46-55,Delhi,Delhi,1,1,1,8320.00,8,2025-02-16,2026-05-30 01:02:25,2026-05-30 01:02:25
119,CUST00119,Geeta Yadav,NULL,NULL,F,46-55,Delhi,Delhi,1,1,1,4730.00,4,2024-07-11,2026-05-30 01:02:25,2026-05-30 01:02:25
120,CUST00120,Advik Bhatia,NULL,NULL,M,26-35,Kolkata,West Bengal,1,0,0,3770.00,2,2026-04-25,2026-05-30 01:02:25,2026-05-30 01:02:25
121,CUST00121,Mohan Jain,NULL,NULL,M,18-25,Mumbai,Maharashtra,1,1,1,2670.00,7,2026-02-09,2026-05-30 01:02:25,2026-05-30 01:02:25
122,CUST00122,Ritvik Naidu,NULL,NULL,M,18-25,Hyderabad,Telangana,1,0,0,1130.00,1,2025-03-09,2026-05-30 01:02:25,2026-05-30 01:02:25
123,CUST00123,Anika Ghosh,NULL,NULL,O,26-35,Hyderabad,Telangana,1,1,0,2950.00,8,2023-12-05,2026-05-30 01:02:25,2026-05-30 01:02:25
124,CUST00124,Divya Malhotra,NULL,NULL,F,26-35,Nagpur,Maharashtra,2,1,0,3510.00,8,2025-11-19,2026-05-30 01:02:25,2026-05-30 01:02:25
125,CUST00125,Ajay Shah,NULL,NULL,M,26-35,Bengaluru,Karnataka,1,1,0,3720.00,2,2025-10-04,2026-05-30 01:02:25,2026-05-30 01:02:25
126,CUST00126,Vihaan Choudhary,NULL,NULL,M,36-45,Pune,Maharashtra,1,1,0,6110.00,7,2024-09-19,2026-05-30 01:02:25,2026-05-30 01:02:25
127,CUST00127,Anika Rao,NULL,NULL,F,26-35,Amritsar,Punjab,2,0,0,2980.00,3,2025-05-20,2026-05-30 01:02:25,2026-05-30 01:02:25
128,CUST00128,Ravi Roy,NULL,NULL,M,36-45,Raipur,Chhattisgarh,3,1,0,3900.00,3,2026-05-07,2026-05-30 01:02:25,2026-05-30 01:02:25
129,CUST00129,Diya Ghosh,NULL,NULL,F,65+,Bhopal,Madhya Pradesh,2,1,1,2850.00,6,2023-09-13,2026-05-30 01:02:25,2026-05-30 01:02:25
130,CUST00130,Mohan Gupta,NULL,NULL,M,26-35,Delhi,Delhi,1,0,0,3950.00,4,2023-12-30,2026-05-30 01:02:25,2026-05-30 01:02:25
131,CUST00131,Tara Dubey,NULL,NULL,F,36-45,Mumbai,Maharashtra,1,1,1,9260.00,10,2025-03-16,2026-05-30 01:02:25,2026-05-30 01:02:25
132,CUST00132,Myra Joshi,NULL,NULL,F,36-45,Nagpur,Maharashtra,2,0,0,3690.00,2,2024-11-20,2026-05-30 01:02:25,2026-05-30 01:02:25
133,CUST00133,Neha Menon,NULL,NULL,F,18-25,Amritsar,Punjab,2,0,0,1410.00,2,2025-02-26,2026-05-30 01:02:25,2026-05-30 01:02:25
134,CUST00134,Atharv Ghosh,NULL,NULL,M,18-25,Delhi,Delhi,1,1,1,3090.00,6,2024-09-15,2026-05-30 01:02:25,2026-05-30 01:02:25
135,CUST00135,Deepak Iyer,NULL,NULL,M,56-65,Nashik,Maharashtra,2,1,0,2470.00,7,2024-05-24,2026-05-30 01:02:25,2026-05-30 01:02:25
136,CUST00136,Aarohi Kumar,NULL,NULL,F,18-25,Warangal,Telangana,3,1,0,1430.00,2,2024-03-06,2026-05-30 01:02:25,2026-05-30 01:02:25
137,CUST00137,Avni Joshi,NULL,NULL,F,36-45,Bengaluru,Karnataka,1,1,0,6340.00,6,2024-01-13,2026-05-30 01:02:25,2026-05-30 01:02:25
138,CUST00138,Pranav Bhatia,NULL,NULL,M,36-45,Ahmedabad,Gujarat,1,1,0,5660.00,8,2023-12-18,2026-05-30 01:02:25,2026-05-30 01:02:25
139,CUST00139,Aarav Dubey,NULL,NULL,M,18-25,Cuttack,Odisha,3,1,1,2910.00,5,2024-01-16,2026-05-30 01:02:25,2026-05-30 01:02:25
140,CUST00140,Vinod Chopra,NULL,NULL,M,18-25,Patna,Bihar,2,1,1,2980.00,4,2024-08-21,2026-05-30 01:02:25,2026-05-30 01:02:25
141,CUST00141,Anvi Khan,NULL,NULL,F,46-55,Tiruchirappalli,Tamil Nadu,3,0,0,6160.00,5,2024-08-28,2026-05-30 01:02:25,2026-05-30 01:02:25
142,CUST00142,Sara Choudhary,NULL,NULL,F,56-65,Ludhiana,Punjab,2,1,1,6180.00,4,2025-09-13,2026-05-30 01:02:25,2026-05-30 01:02:25
143,CUST00143,Divya Agarwal,NULL,NULL,F,36-45,Kolkata,West Bengal,1,1,0,3920.00,2,2025-05-21,2026-05-30 01:02:25,2026-05-30 01:02:25
144,CUST00144,Sai Mehta,NULL,NULL,M,46-55,Kolkata,West Bengal,1,1,1,4630.00,11,2026-02-24,2026-05-30 01:02:25,2026-05-30 01:02:25
145,CUST00145,Atharv Pillai,NULL,NULL,M,36-45,Amritsar,Punjab,2,1,0,5980.00,5,2025-06-12,2026-05-30 01:02:25,2026-05-30 01:02:25
146,CUST00146,Sandeep Chatterjee,NULL,NULL,M,18-25,Ahmedabad,Gujarat,1,0,0,1120.00,3,2025-02-06,2026-05-30 01:02:25,2026-05-30 01:02:25
147,CUST00147,Priya Rao,NULL,NULL,F,18-25,Patna,Bihar,2,1,0,1870.00,7,2025-07-03,2026-05-30 01:02:25,2026-05-30 01:02:25
148,CUST00148,Tara Verma,NULL,NULL,F,26-35,Indore,Madhya Pradesh,2,1,0,2910.00,8,2025-10-17,2026-05-30 01:02:25,2026-05-30 01:02:25
149,CUST00149,Lakshmi Naidu,NULL,NULL,F,26-35,Bhubaneswar,Odisha,3,1,1,6960.00,6,2026-01-20,2026-05-30 01:02:25,2026-05-30 01:02:25
150,CUST00150,Avni Yadav,NULL,NULL,F,18-25,Chennai,Tamil Nadu,1,1,1,2870.00,5,2023-09-28,2026-05-30 01:02:25,2026-05-30 01:02:25
151,CUST00151,Deepak Malhotra,NULL,NULL,M,26-35,Chennai,Tamil Nadu,1,1,0,4170.00,7,2025-01-30,2026-05-30 01:02:25,2026-05-30 01:02:25
152,CUST00152,Varun Verma,NULL,NULL,M,26-35,Chennai,Tamil Nadu,1,1,1,5040.00,10,2025-01-15,2026-05-30 01:02:25,2026-05-30 01:02:25
153,CUST00153,Mohan Saxena,NULL,NULL,M,46-55,Coimbatore,Tamil Nadu,2,1,1,8960.00,4,2026-04-13,2026-05-30 01:02:25,2026-05-30 01:02:25
154,CUST00154,Vinod Malhotra,NULL,NULL,M,36-45,Bengaluru,Karnataka,1,1,1,6440.00,6,2024-05-25,2026-05-30 01:02:25,2026-05-30 01:02:25
